Date,Daytime,Ride_Name,Park_Name,WaitTime,Fast_Pass_Plus_Tickets,Total_Ticket_Sale_In_Last_Hour,Highest_Age_Group
2024-01-30,21:00:00,Space Mountain,Tomorrowland,82,29,53,Child
2024-01-30,22:00:00,Space Mountain,Tomorrowland,71,20,55,Teen
2024-01-30,09:00:00,it's a small world,Fantasyland,66,28,86,Senior
2024-01-30,10:00:00,it's a small world,Fantasyland,71,12,69,Adult
2024-01-30,11:00:00,it's a small world,Fantasyland,70,7,77,Child
2024-01-30,12:00:00,it's a small world,Fantasyland,53,8,90,Child
2024-01-30,13:00:00,it's a small world,Fantasyland,65,113,249,Teen
2024-01-30,14:00:00,it's a small world,Fantasyland,43,69,114,Child
2024-01-30,15:00:00,it's a small world,Fantasyland,50,48,147,Child
2024-01-30,16:00:00,it's a small world,Fantasyland,64,156,272,Teen
2024-01-30,17:00:00,it's a small world,Fantasyland,40,67,203,Teen
2024-01-30,18:00:00,it's a small world,Fantasyland,64,122,248,Child
2024-01-30,19:00:00,it's a small world,Fantasyland,56,83,258,Senior
2024-01-30,20:00:00,it's a small world,Fantasyland,90,49,92,Adult
2024-01-30,21:00:00,it's a small world,Fantasyland,90,22,66,Adult
2024-01-30,22:00:00,it's a small world,Fantasyland,69,24,65,Senior
2024-01-30,09:00:00,Peter Pan's Flight,Fantasyland,48,22,118,Adult
2024-01-30,10:00:00,Peter Pan's Flight,Fantasyland,82,18,66,Child
2024-01-30,11:00:00,Peter Pan's Flight,Fantasyland,81,23,81,Adult
2024-01-30,12:00:00,Peter Pan's Flight,Fantasyland,59,24,70,Adult
2024-01-30,13:00:00,Peter Pan's Flight,Fantasyland,69,141,256,Child
2024-01-30,14:00:00,Peter Pan's Flight,Fantasyland,60,152,270,Adult
2024-01-30,15:00:00,Peter Pan's Flight,Fantasyland,88,89,269,Teen
2024-01-30,16:00:00,Peter Pan's Flight,Fantasyland,44,56,167,Child
2024-01-30,17:00:00,Peter Pan's Flight,Fantasyland,40,137,290,Teen
2024-01-30,18:00:00,Peter Pan's Flight,Fantasyland,69,66,169,Teen
2024-01-30,19:00:00,Peter Pan's Flight,Fantasyland,79,114,283,Teen
2024-01-30,20:00:00,Peter Pan's Flight,Fantasyland,76,34,93,Senior
2024-01-30,21:00:00,Peter Pan's Flight,Fantasyland,46,16,66,Child
2024-01-30,22:00:00,Peter Pan's Flight,Fantasyland,44,43,90,Adult
2024-01-19,09:00:00,Pirates of the Caribbean,Adventureland,42,7,51,Child
2024-01-19,10:00:00,Pirates of the Caribbean,Adventureland,40,27,69,Child
2024-01-19,11:00:00,Pirates of the Caribbean,Adventureland,61,41,97,Teen
2024-01-19,12:00:00,Pirates of the Caribbean,Adventureland,89,14,105,Child
2024-01-19,13:00:00,Pirates of the Caribbean,Adventureland,48,73,178,Child
2024-01-19,14:00:00,Pirates of the Caribbean,Adventureland,80,69,191,Teen
2024-01-19,15:00:00,Pirates of the Caribbean,Adventureland,56,90,270,Adult
2024-01-19,16:00:00,Pirates of the Caribbean,Adventureland,50,141,299,Senior
2024-01-19,17:00:00,Pirates of the Caribbean,Adventureland,87,137,258,Teen
2024-01-19,18:00:00,Pirates of the Caribbean,Adventureland,68,92,160,Teen
2024-01-19,19:00:00,Pirates of the Caribbean,Adventureland,75,85,145,Senior
2024-01-19,20:00:00,Pirates of the Caribbean,Adventureland,85,16,51,Adult
2024-01-19,21:00:00,Pirates of the Caribbean,Adventureland,67,46,100,Teen
2024-01-19,22:00:00,Pirates of the Caribbean,Adventureland,75,21,67,Child
2024-01-19,09:00:00,Big Thunder Mountain,Frontierland,64,27,101,Adult
2024-01-19,10:00:00,Big Thunder Mountain,Frontierland,42,13,58,Adult
2024-01-19,11:00:00,Big Thunder Mountain,Frontierland,70,35,115,Adult
2024-01-19,12:00:00,Big Thunder Mountain,Frontierland,54,7,53,Adult
2024-01-19,13:00:00,Big Thunder Mountain,Frontierland,52,70,145,Adult
2024-01-19,14:00:00,Big Thunder Mountain,Frontierland,69,36,109,Senior
2024-01-19,15:00:00,Big Thunder Mountain,Frontierland,62,100,188,Adult
2024-01-19,16:00:00,Big Thunder Mountain,Frontierland,59,104,211,Child
2024-01-19,17:00:00,Big Thunder Mountain,Frontierland,90,115,198,Teen
2024-01-19,18:00:00,Big Thunder Mountain,Frontierland,54,52,165,Senior
2024-01-19,19:00:00,Big Thunder Mountain,Frontierland,54,46,100,Teen
2024-01-19,20:00:00,Big Thunder Mountain,Frontierland,41,35,73,Child
2024-01-19,21:00:00,Big Thunder Mountain,Frontierland,82,38,92,Adult
2024-01-19,22:00:00,Big Thunder Mountain,Frontierland,52,25,92,Adult
2024-01-19,09:00:00,Haunted Mansion,Liberty Square,72,32,72,Adult
2024-01-19,10:00:00,Haunted Mansion,Liberty Square,59,41,101,Child
2024-01-19,11:00:00,Haunted Mansion,Liberty Square,82,21,88,Teen
2024-01-19,12:00:00,Haunted Mansion,Liberty Square,66,45,105,Adult
2024-01-19,13:00:00,Haunted Mansion,Liberty Square,60,97,219,Senior
2024-01-19,14:00:00,Haunted Mansion,Liberty Square,65,98,272,Senior
2024-01-19,15:00:00,Haunted Mansion,Liberty Square,84,101,288,Child
2024-01-19,16:00:00,Haunted Mansion,Liberty Square,58,80,172,Adult
2024-01-19,17:00:00,Haunted Mansion,Liberty Square,75,69,123,Teen
2024-01-19,18:00:00,Haunted Mansion,Liberty Square,48,107,272,Teen
2024-01-19,19:00:00,Haunted Mansion,Liberty Square,52,51,150,Child
2024-01-19,20:00:00,Haunted Mansion,Liberty Square,66,19,52,Senior
2024-01-19,21:00:00,Haunted Mansion,Liberty Square,82,22,89,Senior
2024-01-19,22:00:00,Haunted Mansion,Liberty Square,64,25,76,Senior
2024-01-19,09:00:00,Jungle Cruise,Adventureland,71,40,116,Child
2024-01-19,10:00:00,Jungle Cruise,Adventureland,65,10,81,Senior
2024-01-19,11:00:00,Jungle Cruise,Adventureland,55,23,67,Adult
2024-01-19,12:00:00,Jungle Cruise,Adventureland,49,47,106,Senior
2024-01-19,13:00:00,Jungle Cruise,Adventureland,81,106,240,Teen
2024-01-19,14:00:00,Jungle Cruise,Adventureland,84,166,290,Senior
2024-01-19,15:00:00,Jungle Cruise,Adventureland,40,82,215,Teen
2024-01-19,16:00:00,Jungle Cruise,Adventureland,88,100,263,Senior
2024-01-19,17:00:00,Jungle Cruise,Adventureland,89,97,260,Adult
2024-01-19,18:00:00,Jungle Cruise,Adventureland,46,68,212,Adult
2024-01-19,19:00:00,Jungle Cruise,Adventureland,89,61,160,Adult
2024-01-19,20:00:00,Jungle Cruise,Adventureland,67,38,70,Child
2024-01-19,21:00:00,Jungle Cruise,Adventureland,54,17,58,Teen
2024-01-19,22:00:00,Jungle Cruise,Adventureland,51,22,74,Teen
2024-01-19,09:00:00,Space Mountain,Tomorrowland,44,22,52,Senior
2024-01-19,10:00:00,Space Mountain,Tomorrowland,66,6,111,Adult
2024-01-19,11:00:00,Space Mountain,Tomorrowland,66,26,88,Senior
2024-01-19,12:00:00,Space Mountain,Tomorrowland,61,47,118,Teen
2024-01-19,13:00:00,Space Mountain,Tomorrowland,74,83,224,Adult
2024-01-19,14:00:00,Space Mountain,Tomorrowland,69,95,211,Child
2024-01-19,15:00:00,Space Mountain,Tomorrowland,66,80,199,Senior
2024-01-19,16:00:00,Space Mountain,Tomorrowland,43,100,285,Senior
2024-01-19,17:00:00,Space Mountain,Tomorrowland,53,65,132,Child
2024-01-19,18:00:00,Space Mountain,Tomorrowland,66,96,200,Child
2024-01-19,19:00:00,Space Mountain,Tomorrowland,64,61,121,Senior
2024-01-19,20:00:00,Space Mountain,Tomorrowland,89,29,58,Teen
2024-01-19,21:00:00,Space Mountain,Tomorrowland,77,20,53,Senior
2024-01-19,22:00:00,Space Mountain,Tomorrowland,84,24,70,Senior
2024-01-19,09:00:00,it's a small world,Fantasyland,60,18,94,Child
2024-01-19,10:00:00,it's a small world,Fantasyland,61,4,55,Teen
2024-01-19,11:00:00,it's a small world,Fantasyland,88,5,75,Teen
2024-01-19,12:00:00,it's a small world,Fantasyland,64,11,80,Senior
2024-01-19,13:00:00,it's a small world,Fantasyland,57,90,271,Teen
2024-01-19,14:00:00,it's a small world,Fantasyland,88,114,219,Adult
2024-01-19,15:00:00,it's a small world,Fantasyland,66,122,296,Teen
2024-01-19,16:00:00,it's a small world,Fantasyland,56,125,255,Child
2024-01-19,17:00:00,it's a small world,Fantasyland,45,168,299,Teen
2024-01-19,18:00:00,it's a small world,Fantasyland,70,60,179,Child
2024-01-19,19:00:00,it's a small world,Fantasyland,41,86,179,Senior
2024-01-19,20:00:00,it's a small world,Fantasyland,87,24,75,Child
2024-01-19,21:00:00,it's a small world,Fantasyland,74,31,87,Child
2024-01-19,22:00:00,it's a small world,Fantasyland,43,37,94,Child
2024-01-19,09:00:00,Peter Pan's Flight,Fantasyland,90,38,103,Child
2024-01-19,10:00:00,Peter Pan's Flight,Fantasyland,76,30,105,Senior
2024-01-19,11:00:00,Peter Pan's Flight,Fantasyland,90,23,69,Teen
2024-01-19,12:00:00,Peter Pan's Flight,Fantasyland,42,26,116,Senior
2024-01-19,13:00:00,Peter Pan's Flight,Fantasyland,62,95,219,Adult
2024-01-19,14:00:00,Peter Pan's Flight,Fantasyland,74,104,182,Teen
2024-01-19,15:00:00,Peter Pan's Flight,Fantasyland,67,47,122,Senior
2024-01-19,16:00:00,Peter Pan's Flight,Fantasyland,82,88,162,Senior
2024-01-19,17:00:00,Peter Pan's Flight,Fantasyland,63,121,245,Senior
2024-01-19,18:00:00,Peter Pan's Flight,Fantasyland,44,56,186,Senior
2024-01-19,19:00:00,Peter Pan's Flight,Fantasyland,72,65,183,Senior
2024-01-19,20:00:00,Peter Pan's Flight,Fantasyland,81,27,63,Adult
2024-01-19,21:00:00,Peter Pan's Flight,Fantasyland,61,27,71,Adult
2024-01-19,22:00:00,Peter Pan's Flight,Fantasyland,40,17,85,Teen
2024-01-08,09:00:00,Pirates of the Caribbean,Adventureland,45,6,52,Adult
2024-01-08,10:00:00,Pirates of the Caribbean,Adventureland,55,24,78,Teen
2024-01-08,11:00:00,Pirates of the Caribbean,Adventureland,86,38,89,Adult
2024-01-08,12:00:00,Pirates of the Caribbean,Adventureland,66,44,110,Adult
2024-01-08,13:00:00,Pirates of the Caribbean,Adventureland,71,111,208,Adult
2024-01-08,14:00:00,Pirates of the Caribbean,Adventureland,75,99,190,Senior
2024-01-08,15:00:00,Pirates of the Caribbean,Adventureland,88,66,169,Adult
2024-01-08,16:00:00,Pirates of the Caribbean,Adventureland,55,53,159,Teen
2024-01-08,17:00:00,Pirates of the Caribbean,Adventureland,84,60,180,Teen
2024-01-08,18:00:00,Pirates of the Caribbean,Adventureland,70,54,149,Senior
2024-01-08,19:00:00,Pirates of the Caribbean,Adventureland,81,91,170,Adult
2024-01-08,20:00:00,Pirates of the Caribbean,Adventureland,85,18,56,Adult
2024-01-08,21:00:00,Pirates of the Caribbean,Adventureland,71,28,64,Teen
2024-01-08,22:00:00,Pirates of the Caribbean,Adventureland,68,14,69,Teen
2024-01-08,09:00:00,Big Thunder Mountain,Frontierland,57,39,110,Senior
2024-01-08,10:00:00,Big Thunder Mountain,Frontierland,42,15,93,Child
2024-01-08,11:00:00,Big Thunder Mountain,Frontierland,43,29,82,Child
2024-01-08,12:00:00,Big Thunder Mountain,Frontierland,75,18,58,Senior
2024-01-08,13:00:00,Big Thunder Mountain,Frontierland,58,57,118,Child
2024-01-08,14:00:00,Big Thunder Mountain,Frontierland,84,47,138,Adult
2024-01-08,15:00:00,Big Thunder Mountain,Frontierland,48,45,121,Child
2024-01-08,16:00:00,Big Thunder Mountain,Frontierland,80,131,242,Senior
2024-01-08,17:00:00,Big Thunder Mountain,Frontierland,88,125,255,Teen
2024-01-08,18:00:00,Big Thunder Mountain,Frontierland,71,138,298,Senior
2024-01-08,19:00:00,Big Thunder Mountain,Frontierland,46,127,215,Senior
2024-01-08,20:00:00,Big Thunder Mountain,Frontierland,40,33,69,Adult
2024-01-08,21:00:00,Big Thunder Mountain,Frontierland,76,20,86,Child
2024-01-08,22:00:00,Big Thunder Mountain,Frontierland,58,33,98,Teen
2024-01-08,09:00:00,Haunted Mansion,Liberty Square,56,26,110,Child
2024-01-08,10:00:00,Haunted Mansion,Liberty Square,82,19,79,Adult
2024-01-08,11:00:00,Haunted Mansion,Liberty Square,45,10,108,Teen
2024-01-08,12:00:00,Haunted Mansion,Liberty Square,50,38,83,Teen
2024-01-08,13:00:00,Haunted Mansion,Liberty Square,55,69,208,Teen
2024-01-08,14:00:00,Haunted Mansion,Liberty Square,51,91,265,Adult
2024-01-08,15:00:00,Haunted Mansion,Liberty Square,75,44,136,Child
2024-01-08,16:00:00,Haunted Mansion,Liberty Square,44,79,142,Adult
2024-01-08,17:00:00,Haunted Mansion,Liberty Square,50,134,252,Adult
2024-01-08,18:00:00,Haunted Mansion,Liberty Square,40,70,212,Senior
2024-01-08,19:00:00,Haunted Mansion,Liberty Square,66,108,276,Senior
2024-01-08,20:00:00,Haunted Mansion,Liberty Square,68,35,67,Senior
2024-01-08,21:00:00,Haunted Mansion,Liberty Square,84,20,78,Child
2024-01-08,22:00:00,Haunted Mansion,Liberty Square,78,31,77,Adult
2024-01-08,09:00:00,Jungle Cruise,Adventureland,41,26,72,Senior
2024-01-08,10:00:00,Jungle Cruise,Adventureland,45,14,85,Senior
2024-01-08,11:00:00,Jungle Cruise,Adventureland,54,12,112,Senior
2024-01-08,12:00:00,Jungle Cruise,Adventureland,83,30,94,Adult
2024-01-08,13:00:00,Jungle Cruise,Adventureland,76,93,182,Child
2024-01-08,14:00:00,Jungle Cruise,Adventureland,77,57,141,Senior
2024-01-08,15:00:00,Jungle Cruise,Adventureland,41,125,277,Adult
2024-01-08,16:00:00,Jungle Cruise,Adventureland,88,162,269,Senior
2024-01-08,17:00:00,Jungle Cruise,Adventureland,83,139,294,Child
2024-01-08,18:00:00,Jungle Cruise,Adventureland,57,70,216,Adult
2024-01-08,19:00:00,Jungle Cruise,Adventureland,76,66,164,Child
2024-01-08,20:00:00,Jungle Cruise,Adventureland,42,45,99,Child
2024-01-08,21:00:00,Jungle Cruise,Adventureland,88,50,92,Senior
2024-01-08,22:00:00,Jungle Cruise,Adventureland,88,18,76,Teen
2024-01-08,09:00:00,Space Mountain,Tomorrowland,73,39,106,Child
2024-01-08,10:00:00,Space Mountain,Tomorrowland,63,24,53,Teen
2024-01-08,11:00:00,Space Mountain,Tomorrowland,79,17,70,Child
2024-01-08,12:00:00,Space Mountain,Tomorrowland,88,38,120,Child
2024-01-08,13:00:00,Space Mountain,Tomorrowland,71,88,157,Child
2024-01-08,14:00:00,Space Mountain,Tomorrowland,80,131,218,Child
2024-01-08,15:00:00,Space Mountain,Tomorrowland,68,149,265,Teen
2024-01-08,16:00:00,Space Mountain,Tomorrowland,88,134,227,Adult
2024-01-08,17:00:00,Space Mountain,Tomorrowland,43,120,230,Adult
2024-01-08,18:00:00,Space Mountain,Tomorrowland,53,116,206,Senior
2024-01-08,19:00:00,Space Mountain,Tomorrowland,57,82,220,Senior
2024-01-08,20:00:00,Space Mountain,Tomorrowland,75,25,85,Senior
2024-01-08,21:00:00,Space Mountain,Tomorrowland,48,33,62,Teen
2024-01-08,22:00:00,Space Mountain,Tomorrowland,58,20,54,Senior
2024-01-08,09:00:00,it's a small world,Fantasyland,61,42,118,Adult
2024-01-08,10:00:00,it's a small world,Fantasyland,90,37,92,Senior
2024-01-08,11:00:00,it's a small world,Fantasyland,72,27,108,Teen
2024-01-08,12:00:00,it's a small world,Fantasyland,57,33,80,Senior
2024-01-08,13:00:00,it's a small world,Fantasyland,40,91,159,Senior
2024-01-08,14:00:00,it's a small world,Fantasyland,58,45,111,Senior
2024-01-08,15:00:00,it's a small world,Fantasyland,86,166,280,Senior
2024-01-08,16:00:00,it's a small world,Fantasyland,59,101,198,Teen
2024-01-08,17:00:00,it's a small world,Fantasyland,77,136,226,Child
2024-01-08,18:00:00,it's a small world,Fantasyland,77,61,132,Adult
2024-01-08,19:00:00,it's a small world,Fantasyland,82,72,125,Senior
2024-01-08,20:00:00,it's a small world,Fantasyland,71,30,56,Senior
2024-01-08,21:00:00,it's a small world,Fantasyland,49,15,50,Senior
2024-01-08,22:00:00,it's a small world,Fantasyland,68,27,91,Child
2024-01-08,09:00:00,Peter Pan's Flight,Fantasyland,70,44,112,Child
2024-01-08,10:00:00,Peter Pan's Flight,Fantasyland,90,12,58,Adult
2024-01-08,11:00:00,Peter Pan's Flight,Fantasyland,56,8,79,Senior
2024-01-08,12:00:00,Peter Pan's Flight,Fantasyland,61,28,62,Child
2024-01-08,13:00:00,Peter Pan's Flight,Fantasyland,79,75,213,Adult
2024-01-08,14:00:00,Peter Pan's Flight,Fantasyland,84,34,107,Adult
2024-01-08,15:00:00,Peter Pan's Flight,Fantasyland,65,45,114,Adult
2024-01-08,16:00:00,Peter Pan's Flight,Fantasyland,81,84,195,Teen
2024-01-08,17:00:00,Peter Pan's Flight,Fantasyland,45,75,162,Senior
2024-01-08,18:00:00,Peter Pan's Flight,Fantasyland,61,125,244,Teen
2024-01-08,19:00:00,Peter Pan's Flight,Fantasyland,83,51,143,Child
2024-01-08,20:00:00,Peter Pan's Flight,Fantasyland,74,40,89,Teen
2024-01-08,21:00:00,Peter Pan's Flight,Fantasyland,64,24,81,Teen
2024-01-08,22:00:00,Peter Pan's Flight,Fantasyland,60,29,79,Senior
2024-01-26,09:00:00,Pirates of the Caribbean,Adventureland,56,22,104,Senior
2024-01-26,10:00:00,Pirates of the Caribbean,Adventureland,82,15,88,Senior
2024-01-26,11:00:00,Pirates of the Caribbean,Adventureland,40,13,111,Teen
2024-01-26,12:00:00,Pirates of the Caribbean,Adventureland,69,41,98,Adult
2024-01-26,13:00:00,Pirates of the Caribbean,Adventureland,58,97,247,Adult
2024-01-26,14:00:00,Pirates of the Caribbean,Adventureland,83,59,105,Senior
2024-01-26,15:00:00,Pirates of the Caribbean,Adventureland,74,51,170,Child
2024-01-26,16:00:00,Pirates of the Caribbean,Adventureland,50,136,255,Senior
2024-01-26,17:00:00,Pirates of the Caribbean,Adventureland,44,94,173,Teen
2024-01-26,18:00:00,Pirates of the Caribbean,Adventureland,68,141,255,Adult
2024-01-26,19:00:00,Pirates of the Caribbean,Adventureland,62,78,156,Teen
2024-01-26,20:00:00,Pirates of the Caribbean,Adventureland,77,33,89,Teen
2024-01-26,21:00:00,Pirates of the Caribbean,Adventureland,59,24,90,Child
2024-01-26,22:00:00,Pirates of the Caribbean,Adventureland,80,34,69,Child
2024-01-26,09:00:00,Big Thunder Mountain,Frontierland,77,37,96,Adult
2024-01-26,10:00:00,Big Thunder Mountain,Frontierland,63,15,71,Senior
2024-01-26,11:00:00,Big Thunder Mountain,Frontierland,86,23,87,Child
2024-01-26,12:00:00,Big Thunder Mountain,Frontierland,48,10,109,Teen
2024-01-26,13:00:00,Big Thunder Mountain,Frontierland,45,176,293,Teen
2024-01-26,14:00:00,Big Thunder Mountain,Frontierland,58,145,273,Senior
2024-01-26,15:00:00,Big Thunder Mountain,Frontierland,60,100,242,Child
2024-01-26,16:00:00,Big Thunder Mountain,Frontierland,87,61,201,Adult
2024-01-26,17:00:00,Big Thunder Mountain,Frontierland,66,79,237,Senior
2024-01-26,18:00:00,Big Thunder Mountain,Frontierland,51,99,194,Adult
2024-01-26,19:00:00,Big Thunder Mountain,Frontierland,52,105,249,Adult
2024-01-26,20:00:00,Big Thunder Mountain,Frontierland,48,20,56,Senior
2024-01-26,21:00:00,Big Thunder Mountain,Frontierland,90,29,51,Adult
2024-01-26,22:00:00,Big Thunder Mountain,Frontierland,74,31,89,Child
2024-01-26,09:00:00,Haunted Mansion,Liberty Square,80,32,80,Teen
2024-01-26,10:00:00,Haunted Mansion,Liberty Square,69,34,99,Adult
2024-01-26,11:00:00,Haunted Mansion,Liberty Square,84,37,119,Teen
2024-01-26,12:00:00,Haunted Mansion,Liberty Square,59,12,103,Senior
2024-01-26,13:00:00,Haunted Mansion,Liberty Square,81,111,257,Adult
2024-01-26,14:00:00,Haunted Mansion,Liberty Square,66,57,108,Adult
2024-01-26,15:00:00,Haunted Mansion,Liberty Square,47,69,155,Senior
2024-01-26,16:00:00,Haunted Mansion,Liberty Square,48,92,160,Adult
2024-01-26,17:00:00,Haunted Mansion,Liberty Square,42,64,125,Adult
2024-01-26,18:00:00,Haunted Mansion,Liberty Square,42,139,239,Adult
2024-01-26,19:00:00,Haunted Mansion,Liberty Square,59,49,115,Adult
2024-01-26,20:00:00,Haunted Mansion,Liberty Square,71,17,62,Senior
2024-01-26,21:00:00,Haunted Mansion,Liberty Square,47,19,55,Child
2024-01-26,22:00:00,Haunted Mansion,Liberty Square,46,22,53,Teen
2024-01-26,09:00:00,Jungle Cruise,Adventureland,48,11,50,Teen
2024-01-26,10:00:00,Jungle Cruise,Adventureland,90,26,66,Adult
2024-01-26,11:00:00,Jungle Cruise,Adventureland,76,9,72,Child
2024-01-26,12:00:00,Jungle Cruise,Adventureland,53,4,66,Adult
2024-01-26,13:00:00,Jungle Cruise,Adventureland,44,77,160,Adult
2024-01-26,14:00:00,Jungle Cruise,Adventureland,88,37,104,Adult
2024-01-26,15:00:00,Jungle Cruise,Adventureland,75,39,113,Senior
2024-01-26,16:00:00,Jungle Cruise,Adventureland,53,78,234,Child
2024-01-26,17:00:00,Jungle Cruise,Adventureland,77,98,221,Adult
2024-01-26,18:00:00,Jungle Cruise,Adventureland,53,111,231,Child
2024-01-26,19:00:00,Jungle Cruise,Adventureland,54,99,215,Teen
2024-01-26,20:00:00,Jungle Cruise,Adventureland,61,20,89,Adult
2024-01-26,21:00:00,Jungle Cruise,Adventureland,89,17,79,Child
2024-01-26,22:00:00,Jungle Cruise,Adventureland,49,36,80,Senior
2024-01-26,09:00:00,Space Mountain,Tomorrowland,83,30,120,Senior
2024-01-26,10:00:00,Space Mountain,Tomorrowland,46,27,117,Senior
2024-01-26,11:00:00,Space Mountain,Tomorrowland,71,50,114,Senior
2024-01-26,12:00:00,Space Mountain,Tomorrowland,85,8,62,Teen
2024-01-26,13:00:00,Space Mountain,Tomorrowland,68,93,210,Teen
2024-01-26,14:00:00,Space Mountain,Tomorrowland,44,82,205,Senior
