Date,Daytime,Ride_Name,Fast_Pass_Plus_Tickets,Total_Ticket_Sale_In_Last_Hour,Highest_Age_Group
2024-01-27,20:00:00,Frontierland,24,61,Child
2024-01-27,21:00:00,Frontierland,52,95,Teen
2024-01-27,22:00:00,Frontierland,15,67,Child
2024-01-27,09:00:00,Big Thunder Mountain,28,120,Teen
2024-01-27,10:00:00,Big Thunder Mountain,13,112,Child
2024-01-27,11:00:00,Big Thunder Mountain,31,86,Senior
2024-01-27,12:00:00,Big Thunder Mountain,28,106,Teen
2024-01-27,13:00:00,Big Thunder Mountain,43,113,Senior
2024-01-27,14:00:00,Big Thunder Mountain,73,129,Child
2024-01-27,15:00:00,Big Thunder Mountain,91,202,Child
2024-01-27,16:00:00,Big Thunder Mountain,124,247,Child
2024-01-27,17:00:00,Big Thunder Mountain,47,138,Adult
2024-01-27,18:00:00,Big Thunder Mountain,45,121,Child
2024-01-27,19:00:00,Big Thunder Mountain,131,242,Senior
2024-01-27,20:00:00,Big Thunder Mountain,30,88,Senior
2024-01-27,21:00:00,Big Thunder Mountain,38,78,Adult
2024-01-27,22:00:00,Big Thunder Mountain,41,87,Adult
2024-01-27,09:00:00,Country Bear Jamboree,26,57,Child
2024-01-27,10:00:00,Country Bear Jamboree,35,76,Teen
2024-01-27,11:00:00,Country Bear Jamboree,9,83,Teen
2024-01-27,12:00:00,Country Bear Jamboree,13,80,Child
2024-01-27,13:00:00,Country Bear Jamboree,42,140,Senior
2024-01-27,14:00:00,Country Bear Jamboree,112,215,Senior
2024-01-27,15:00:00,Country Bear Jamboree,54,174,Teen
2024-01-27,16:00:00,Country Bear Jamboree,90,173,Adult
2024-01-27,17:00:00,Country Bear Jamboree,160,279,Senior
2024-01-27,18:00:00,Country Bear Jamboree,61,118,Teen
2024-01-27,19:00:00,Country Bear Jamboree,92,167,Teen
2024-01-27,20:00:00,Country Bear Jamboree,21,77,Teen
2024-01-27,21:00:00,Country Bear Jamboree,27,91,Adult
2024-01-27,22:00:00,Country Bear Jamboree,15,59,Child
2024-01-27,09:00:00,Tom Sawyer Island,18,71,Adult
2024-01-27,10:00:00,Tom Sawyer Island,13,106,Senior
2024-01-27,11:00:00,Tom Sawyer Island,27,88,Adult
2024-01-27,12:00:00,Tom Sawyer Island,45,114,Senior
2024-01-27,13:00:00,Tom Sawyer Island,68,212,Child
2024-01-27,14:00:00,Tom Sawyer Island,112,210,Adult
2024-01-27,15:00:00,Tom Sawyer Island,97,254,Child
2024-01-27,16:00:00,Tom Sawyer Island,46,123,Child
2024-01-27,17:00:00,Tom Sawyer Island,151,295,Adult
2024-01-27,18:00:00,Tom Sawyer Island,77,247,Teen
2024-01-27,19:00:00,Tom Sawyer Island,102,220,Senior
2024-01-27,20:00:00,Tom Sawyer Island,21,67,Senior
2024-01-27,21:00:00,Tom Sawyer Island,46,90,Child
2024-01-27,22:00:00,Tom Sawyer Island,34,80,Senior
2024-01-27,09:00:00,Splash Mountain,23,92,Child
2024-01-27,10:00:00,Splash Mountain,19,70,Senior
2024-01-27,11:00:00,Splash Mountain,26,113,Senior
2024-01-27,12:00:00,Splash Mountain,9,120,Senior
2024-01-27,13:00:00,Splash Mountain,49,122,Adult
2024-01-27,14:00:00,Splash Mountain,61,182,Senior
2024-01-27,15:00:00,Splash Mountain,130,231,Child
2024-01-27,16:00:00,Splash Mountain,153,268,Senior
2024-01-27,17:00:00,Splash Mountain,64,205,Teen
2024-01-27,18:00:00,Splash Mountain,96,232,Senior
2024-01-27,19:00:00,Splash Mountain,115,260,Child
2024-01-27,20:00:00,Splash Mountain,24,63,Teen
2024-01-27,21:00:00,Splash Mountain,33,68,Senior
2024-01-27,22:00:00,Splash Mountain,12,57,Teen
2024-01-27,09:00:00,Liberty Square,17,70,Child
2024-01-27,10:00:00,Liberty Square,38,120,Child
2024-01-27,11:00:00,Liberty Square,10,78,Senior
2024-01-27,12:00:00,Liberty Square,10,65,Senior
2024-01-27,13:00:00,Liberty Square,111,283,Adult
2024-01-27,14:00:00,Liberty Square,116,206,Senior
2024-01-27,15:00:00,Liberty Square,82,220,Senior
2024-01-27,16:00:00,Liberty Square,82,241,Senior
2024-01-27,17:00:00,Liberty Square,88,148,Teen
2024-01-27,18:00:00,Liberty Square,45,117,Senior
2024-01-27,19:00:00,Liberty Square,111,187,Adult
2024-01-27,20:00:00,Liberty Square,19,50,Adult
2024-01-27,21:00:00,Liberty Square,45,87,Teen
2024-01-27,22:00:00,Liberty Square,43,78,Senior
2024-01-27,09:00:00,The Hall of Presidents,25,94,Senior
2024-01-27,10:00:00,The Hall of Presidents,27,108,Teen
2024-01-27,11:00:00,The Hall of Presidents,33,80,Senior
2024-01-27,12:00:00,The Hall of Presidents,25,79,Child
2024-01-27,13:00:00,The Hall of Presidents,96,181,Senior
2024-01-27,14:00:00,The Hall of Presidents,166,280,Senior
2024-01-27,15:00:00,The Hall of Presidents,101,198,Teen
2024-01-27,16:00:00,The Hall of Presidents,136,226,Child
2024-01-27,17:00:00,The Hall of Presidents,61,132,Adult
2024-01-27,18:00:00,The Hall of Presidents,72,125,Senior
2024-01-27,19:00:00,The Hall of Presidents,58,125,Senior
2024-01-27,20:00:00,The Hall of Presidents,15,50,Senior
2024-01-27,21:00:00,The Hall of Presidents,27,91,Child
2024-01-27,22:00:00,The Hall of Presidents,29,80,Adult
2024-01-27,09:00:00,Haunted Mansion,10,100,Adult
2024-01-27,10:00:00,Haunted Mansion,35,118,Adult
2024-01-27,11:00:00,Haunted Mansion,44,112,Child
2024-01-27,12:00:00,Haunted Mansion,12,58,Adult
2024-01-27,13:00:00,Haunted Mansion,84,158,Child
2024-01-27,14:00:00,Haunted Mansion,70,211,Child
2024-01-27,15:00:00,Haunted Mansion,75,213,Adult
2024-01-27,16:00:00,Haunted Mansion,34,107,Adult
2024-01-27,17:00:00,Haunted Mansion,45,114,Adult
2024-01-27,18:00:00,Haunted Mansion,84,195,Teen
2024-01-27,19:00:00,Haunted Mansion,75,162,Senior
2024-01-27,20:00:00,Haunted Mansion,27,86,Teen
2024-01-27,21:00:00,Haunted Mansion,16,61,Senior
2024-01-27,22:00:00,Haunted Mansion,32,89,Senior
2024-01-27,09:00:00,Liberty Square Riverboat,13,68,Senior
2024-01-27,10:00:00,Liberty Square Riverboat,28,82,Adult
2024-01-27,11:00:00,Liberty Square Riverboat,18,51,Adult
2024-01-27,12:00:00,Liberty Square Riverboat,18,119,Child
2024-01-27,13:00:00,Liberty Square Riverboat,128,213,Adult
2024-01-27,14:00:00,Liberty Square Riverboat,98,250,Senior
2024-01-27,15:00:00,Liberty Square Riverboat,105,276,Senior
2024-01-27,16:00:00,Liberty Square Riverboat,64,177,Senior
2024-01-27,17:00:00,Liberty Square Riverboat,74,223,Teen
2024-01-27,18:00:00,Liberty Square Riverboat,95,197,Adult
2024-01-27,19:00:00,Liberty Square Riverboat,97,247,Adult
2024-01-27,20:00:00,Liberty Square Riverboat,23,51,Adult
2024-01-27,21:00:00,Liberty Square Riverboat,12,50,Senior
2024-01-27,22:00:00,Liberty Square Riverboat,24,68,Adult
2024-01-27,09:00:00,Main Street USA,36,78,Teen
2024-01-27,10:00:00,Main Street USA,11,82,Child
2024-01-27,11:00:00,Main Street USA,14,55,Senior
2024-01-27,12:00:00,Main Street USA,23,54,Adult
2024-01-27,13:00:00,Main Street USA,98,287,Child
2024-01-27,14:00:00,Main Street USA,70,175,Senior
2024-01-27,15:00:00,Main Street USA,52,144,Teen
2024-01-27,16:00:00,Main Street USA,139,238,Adult
2024-01-27,17:00:00,Main Street USA,109,235,Adult
2024-01-27,18:00:00,Main Street USA,54,142,Senior
2024-01-27,19:00:00,Main Street USA,93,175,Adult
2024-01-27,20:00:00,Main Street USA,28,57,Child
2024-01-27,21:00:00,Main Street USA,21,59,Senior
2024-01-27,22:00:00,Main Street USA,37,85,Child
2024-01-27,09:00:00,Tomorrowland,5,100,Adult
2024-01-27,10:00:00,Tomorrowland,15,118,Senior
2024-01-27,11:00:00,Tomorrowland,21,97,Senior
2024-01-27,12:00:00,Tomorrowland,11,97,Teen
2024-01-27,13:00:00,Tomorrowland,66,220,Adult
2024-01-27,14:00:00,Tomorrowland,95,256,Child
2024-01-27,15:00:00,Tomorrowland,147,262,Senior
2024-01-27,16:00:00,Tomorrowland,109,279,Senior
2024-01-27,17:00:00,Tomorrowland,44,129,Child
2024-01-27,18:00:00,Tomorrowland,43,109,Senior
2024-01-27,19:00:00,Tomorrowland,43,129,Teen
2024-01-27,20:00:00,Tomorrowland,24,84,Senior
2024-01-27,21:00:00,Tomorrowland,34,79,Senior
2024-01-27,22:00:00,Tomorrowland,26,87,Senior
2024-01-27,09:00:00,Astro Orbiter,23,62,Senior
2024-01-27,10:00:00,Astro Orbiter,6,85,Adult
2024-01-27,11:00:00,Astro Orbiter,26,77,Senior
2024-01-27,12:00:00,Astro Orbiter,23,80,Child
2024-01-27,13:00:00,Astro Orbiter,113,275,Adult
2024-01-27,14:00:00,Astro Orbiter,49,115,Adult
2024-01-27,15:00:00,Astro Orbiter,89,148,Child
2024-01-27,16:00:00,Astro Orbiter,70,216,Teen
2024-01-27,17:00:00,Astro Orbiter,132,264,Child
2024-01-27,18:00:00,Astro Orbiter,62,112,Adult
2024-01-27,19:00:00,Astro Orbiter,56,162,Teen
2024-01-27,20:00:00,Astro Orbiter,30,54,Teen
2024-01-27,21:00:00,Astro Orbiter,29,87,Teen
2024-01-27,22:00:00,Astro Orbiter,21,71,Child
2024-01-27,09:00:00,Buzz Lightyear's Space Ranger Spin,12,85,Teen
2024-01-27,10:00:00,Buzz Lightyear's Space Ranger Spin,25,119,Teen
2024-01-27,11:00:00,Buzz Lightyear's Space Ranger Spin,4,64,Teen
2024-01-27,12:00:00,Buzz Lightyear's Space Ranger Spin,14,51,Teen
2024-01-27,13:00:00,Buzz Lightyear's Space Ranger Spin,100,250,Child
2024-01-27,14:00:00,Buzz Lightyear's Space Ranger Spin,55,144,Child
2024-01-27,15:00:00,Buzz Lightyear's Space Ranger Spin,70,132,Senior
2024-01-27,16:00:00,Buzz Lightyear's Space Ranger Spin,78,234,Child
2024-01-27,17:00:00,Buzz Lightyear's Space Ranger Spin,98,221,Adult
2024-01-27,18:00:00,Buzz Lightyear's Space Ranger Spin,111,231,Child
2024-01-27,19:00:00,Buzz Lightyear's Space Ranger Spin,99,215,Teen
2024-01-27,20:00:00,Buzz Lightyear's Space Ranger Spin,20,89,Adult
